Datas,Pistoia
2020/02/25,1
2020/02/26,-1
2020/02/27,1
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,0
2020/03/04,0
2020/03/05,0
2020/03/06,0
2020/03/07,5
2020/03/08,7
2020/03/09,3
2020/03/10,5
2020/03/11,11
2020/03/12,11
2020/03/13,5
2020/03/14,15
2020/03/15,16
2020/03/16,11
2020/03/17,10
2020/03/18,22
2020/03/19,23
2020/03/20,26
2020/03/21,10
2020/03/22,34
2020/03/23,14
2020/03/24,14
2020/03/25,11
2020/03/26,10
2020/03/27,0
2020/03/28,34
2020/03/29,11
2020/03/30,15
2020/03/31,8
2020/04/01,1
2020/04/02,13
2020/04/03,15
2020/04/04,13
2020/04/05,20
2020/04/06,6
2020/04/07,4
2020/04/08,46
2020/04/09,7
2020/04/10,11
2020/04/11,22
2020/04/12,16
2020/04/13,3
2020/04/14,4
2020/04/15,3
2020/04/16,20
2020/04/17,11
2020/04/18,7
2020/04/19,3
2020/04/20,11
2020/04/21,7
2020/04/22,8
2020/04/23,9
2020/04/24,6
2020/04/25,9
2020/04/26,8
2020/04/27,3
2020/04/28,3
2020/04/29,3
2020/04/30,6
2020/05/01,3
2020/05/02,7
2020/05/03,4
2020/05/04,3
2020/05/05,0
2020/05/06,0
2020/05/07,0
2020/05/08,1
2020/05/09,4
2020/05/10,0
2020/05/11,0
2020/05/12,0
2020/05/13,2
2020/05/14,1
2020/05/15,1
2020/05/16,5
2020/05/17,0
2020/05/18,0
2020/05/19,0
2020/05/20,2
2020/05/21,3
2020/05/22,3
2020/05/23,0
2020/05/24,2
2020/05/25,2
2020/05/26,0
2020/05/27,0
2020/05/28,1
2020/05/29,0
2020/05/30,1
2020/05/31,0
2020/06/01,0
2020/06/02,1
2020/06/03,0
2020/06/04,1
2020/06/05,0
2020/06/06,0
2020/06/07,0
2020/06/08,1
2020/06/09,0
2020/06/10,0
2020/06/11,0
2020/06/12,1
2020/06/13,0
2020/06/14,0
2020/06/15,1
2020/06/16,0
2020/06/17,0
2020/06/18,0
2020/06/19,0
2020/06/20,0
2020/06/21,0
2020/06/22,0
2020/06/23,1
2020/06/24,62
2020/06/25,0
2020/06/26,0
2020/06/27,4
2020/06/28,0
2020/06/29,0
2020/06/30,0
2020/07/01,0
2020/07/02,1
2020/07/03,0
2020/07/04,0
2020/07/05,0
2020/07/06,0
2020/07/07,0
2020/07/08,1
2020/07/09,0
2020/07/10,0
2020/07/11,0
2020/07/12,0
2020/07/13,0
2020/07/14,0
2020/07/15,0
2020/07/16,0
2020/07/17,0
2020/07/18,0
2020/07/19,0
2020/07/20,0
2020/07/21,0
2020/07/22,0
2020/07/23,1
2020/07/24,2
2020/07/25,2
2020/07/26,1
2020/07/27,0
2020/07/28,0
2020/07/29,1
2020/07/30,0
2020/07/31,0
2020/08/01,0
2020/08/02,0
2020/08/03,0
2020/08/04,0
2020/08/05,0
2020/08/06,0
2020/08/07,0
2020/08/08,1
2020/08/09,2
2020/08/10,0
2020/08/11,2
2020/08/12,1
2020/08/13,2
2020/08/14,7
2020/08/15,1
2020/08/16,3
2020/08/17,0
2020/08/18,0
2020/08/19,2
2020/08/20,6
2020/08/21,4
2020/08/22,1
2020/08/23,6
2020/08/24,0
2020/08/25,3
2020/08/26,5
2020/08/27,4
2020/08/28,1
2020/08/29,11
2020/08/30,6
2020/08/31,1
2020/09/01,4
2020/09/02,6
2020/09/03,14
2020/09/04,2
2020/09/05,5
2020/09/06,6
2020/09/07,3
2020/09/08,5
2020/09/09,1
2020/09/10,9
2020/09/11,16
2020/09/12,18
2020/09/13,4
2020/09/14,7
2020/09/15,1
2020/09/16,7
2020/09/17,5
2020/09/18,6
2020/09/19,13
2020/09/20,11
2020/09/21,5
2020/09/22,2
2020/09/23,2
2020/09/24,19
2020/09/25,8
2020/09/26,5
2020/09/27,6
2020/09/28,6
2020/09/29,4
2020/09/30,5
2020/10/01,7
2020/10/02,10
2020/10/03,29
2020/10/04,13
2020/10/05,12
2020/10/06,8
2020/10/07,14
2020/10/08,16
2020/10/09,31
2020/10/10,33
2020/10/11,47
2020/10/12,12
2020/10/13,24
2020/10/14,36
2020/10/15,50
2020/10/16,64
2020/10/17,58
2020/10/18,105
2020/10/19,78
2020/10/20,101
2020/10/21,23
2020/10/22,51
2020/10/23,79
2020/10/24,130
2020/10/25,161
2020/10/26,231
2020/10/27,147
2020/10/28,181
2020/10/29,188
2020/10/30,264
2020/10/31,197
2020/11/01,290
2020/11/02,172
2020/11/03,113
2020/11/04,164
2020/11/05,214
2020/11/06,236
2020/11/07,262
2020/11/08,267
2020/11/09,191
2020/11/10,189
2020/11/11,207
2020/11/12,184
2020/11/13,231
2020/11/14,221
2020/11/15,285
2020/11/16,264
2020/11/17,209
2020/11/18,197
2020/11/19,198
2020/11/20,232
2020/11/21,232
2020/11/22,164
2020/11/23,128
2020/11/24,68
2020/11/25,107
2020/11/26,164
2020/11/27,109
2020/11/28,117
2020/11/29,84
2020/11/30,113
2020/12/01,56
2020/12/02,108
2020/12/03,79
2020/12/04,120
2020/12/05,78
2020/12/06,69
2020/12/07,51
2020/12/08,51
2020/12/09,56
2020/12/10,45
2020/12/11,80
2020/12/12,59
2020/12/13,57
2020/12/14,51
2020/12/15,27
2020/12/16,33
2020/12/17,36
2020/12/18,23
2020/12/19,35
2020/12/20,44
2020/12/21,33
2020/12/22,25
2020/12/23,30
2020/12/24,25
2020/12/25,42
2020/12/26,20
2020/12/27,8
2020/12/28,2
2020/12/29,18
2020/12/30,10
2020/12/31,52
2021/01/01,28
2021/01/02,25
2021/01/03,10
2021/01/04,9
2021/01/05,18
2021/01/06,13
2021/01/07,47
2021/01/08,17
2021/01/09,16
2021/01/10,38
2021/01/11,17
2021/01/12,15
2021/01/13,11
2021/01/14,44
2021/01/15,25
2021/01/16,29
2021/01/17,46
2021/01/18,25
2021/01/19,10
2021/01/20,26
2021/01/21,57
2021/01/22,36
2021/01/23,44
2021/01/24,57
2021/01/25,21
2021/01/26,19
2021/01/27,51
2021/01/28,64
2021/01/29,48
2021/01/30,40
2021/01/31,49
2021/02/01,51
2021/02/02,19
2021/02/03,48
2021/02/04,112
2021/02/05,67
2021/02/06,105
2021/02/07,77
2021/02/08,70
2021/02/09,70
2021/02/10,34
2021/02/11,156
2021/02/12,98
2021/02/13,67
2021/02/14,99
2021/02/15,63
2021/02/16,35
2021/02/17,95
2021/02/18,152
2021/02/19,120
2021/02/20,157
2021/02/21,96
2021/02/22,118
2021/02/23,115
2021/02/24,114
2021/02/25,174
2021/02/26,177
2021/02/27,167
2021/02/28,125
2021/03/01,159
2021/03/02,155
2021/03/03,141
2021/03/04,157
2021/03/05,202
2021/03/06,167
2021/03/07,195
2021/03/08,119
2021/03/09,132
2021/03/10,144
2021/03/11,138
2021/03/12,147
2021/03/13,178
2021/03/14,126
2021/03/15,148
2021/03/16,163
2021/03/17,154
2021/03/18,137
2021/03/19,149
2021/03/20,141
2021/03/21,116
2021/03/22,123
2021/03/23,83
2021/03/24,105
2021/03/25,135
2021/03/26,154
2021/03/27,105
2021/03/28,96
2021/03/29,89
2021/03/30,117
2021/03/31,129
2021/04/01,134
2021/04/02,166
2021/04/03,137
2021/04/04,100
2021/04/05,60
2021/04/06,53
2021/04/07,42
2021/04/08,105
2021/04/09,151
2021/04/10,105
2021/04/11,100
2021/04/12,74
2021/04/13,70
2021/04/14,87
2021/04/15,100
2021/04/16,105
2021/04/17,93
2021/04/18,106
2021/04/19,52
2021/04/20,61
2021/04/21,75
2021/04/22,124
2021/04/23,85
2021/04/24,87
2021/04/25,84
2021/04/26,61
2021/04/27,74
2021/04/28,98
2021/04/29,124
2021/04/30,103
2021/05/01,80
2021/05/02,56
2021/05/03,70
2021/05/04,72
2021/05/05,51
2021/05/06,95
2021/05/07,81
2021/05/08,78
2021/05/09,67
2021/05/10,34
2021/05/11,36
2021/05/12,44
2021/05/13,70
2021/05/14,49
2021/05/15,46
2021/05/16,48
2021/05/17,53
2021/05/18,23
2021/05/19,34
2021/05/20,69
2021/05/21,41
2021/05/22,26
2021/05/23,49
2021/05/24,25
2021/05/25,19
2021/05/26,25
2021/05/27,40
2021/05/28,24
2021/05/29,25
2021/05/30,28
2021/05/31,8
2021/06/01,11
2021/06/02,15
2021/06/03,20
2021/06/04,12
2021/06/05,6
2021/06/06,16
2021/06/07,14
2021/06/08,11
2021/06/09,13
2021/06/10,15
2021/06/11,13
2021/06/12,5
2021/06/13,6
2021/06/14,6
2021/06/15,7
2021/06/16,6
2021/06/17,8
2021/06/18,4
2021/06/19,9
2021/06/20,3
2021/06/21,7
2021/06/22,1
2021/06/23,3
2021/06/24,6
2021/06/25,1
2021/06/26,4
2021/06/27,0
2021/06/28,11
2021/06/29,0
2021/06/30,2
2021/07/01,4
2021/07/02,2
2021/07/03,9
2021/07/04,3
2021/07/05,0
2021/07/06,3
2021/07/07,2
2021/07/08,3
2021/07/09,2
2021/07/10,1
2021/07/11,7
2021/07/12,3
2021/07/13,5
2021/07/14,3
2021/07/15,17
2021/07/16,14
2021/07/17,15
2021/07/18,18
2021/07/19,3
2021/07/20,17
2021/07/21,14
2021/07/22,45
2021/07/23,25
2021/07/24,28
2021/07/25,33
2021/07/26,17
2021/07/27,18
2021/07/28,40
2021/07/29,46
2021/07/30,62
2021/07/31,45
2021/08/01,72
2021/08/02,37
2021/08/03,21
2021/08/04,46
2021/08/05,78
2021/08/06,68
2021/08/07,78
2021/08/08,88
2021/08/09,32
2021/08/10,43
2021/08/11,48
2021/08/12,118
2021/08/13,70
2021/08/14,77
2021/08/15,76
2021/08/16,18
2021/08/17,47
2021/08/18,44
2021/08/19,113
2021/08/20,62
2021/08/21,81
2021/08/22,51
2021/08/23,29
2021/08/24,44
2021/08/25,43
2021/08/26,121
2021/08/27,53
2021/08/28,67
2021/08/29,64
2021/08/30,39
2021/08/31,28
2021/09/01,67
2021/09/02,93
2021/09/03,57
2021/09/04,69
2021/09/05,63
2021/09/06,27
2021/09/07,41
2021/09/08,36
2021/09/09,58
2021/09/10,53
2021/09/11,62
2021/09/12,31
2021/09/13,24
2021/09/14,31
2021/09/15,22
2021/09/16,50
2021/09/17,72
2021/09/18,33
2021/09/19,41
2021/09/20,39
2021/09/21,20
2021/09/22,21
2021/09/23,37
2021/09/24,46
2021/09/25,36
2021/09/26,40
2021/09/27,16
2021/09/28,16
2021/09/29,24
2021/09/30,54
2021/10/01,18
2021/10/02,27
2021/10/03,38
2021/10/04,19
2021/10/05,20
2021/10/06,24
2021/10/07,38
2021/10/08,17
2021/10/09,32
2021/10/10,26
2021/10/11,20
2021/10/12,24
2021/10/13,27
2021/10/14,42
2021/10/15,13
2021/10/16,48
2021/10/17,35
2021/10/18,29
2021/10/19,9
2021/10/20,34
2021/10/21,28
2021/10/22,35
2021/10/23,38
2021/10/24,32
2021/10/25,21
2021/10/26,20
2021/10/27,24
2021/10/28,36
2021/10/29,30
2021/10/30,27
2021/10/31,43
2021/11/01,12
2021/11/02,13
2021/11/03,23
2021/11/04,24
2021/11/05,46
2021/11/06,43
2021/11/07,30
2021/11/08,12
2021/11/09,18
2021/11/10,26
2021/11/11,55
2021/11/12,36
2021/11/13,22
2021/11/14,28
2021/11/15,23
2021/11/16,16
2021/11/17,31
2021/11/18,38
2021/11/19,26
2021/11/20,35
2021/11/21,41
2021/11/22,60
2021/11/23,46
2021/11/24,60
2021/11/25,55
2021/11/26,42
2021/11/27,51
2021/11/28,54
2021/11/29,33
2021/11/30,40
2021/12/01,55
2021/12/02,74
2021/12/03,61
2021/12/04,84
2021/12/05,60
2021/12/06,52
2021/12/07,58
2021/12/08,58
2021/12/09,67
2021/12/10,120
2021/12/11,90
2021/12/12,96
2021/12/13,80
2021/12/14,64
2021/12/15,100
2021/12/16,132
2021/12/17,113
2021/12/18,140
2021/12/19,128
2021/12/20,53
2021/12/21,151
2021/12/22,121
2021/12/23,212
2021/12/24,214
2021/12/25,252
2021/12/26,112
2021/12/27,138
2021/12/28,270
2021/12/29,485
2021/12/30,1185
2021/12/31,1210
2022/01/01,1185
2022/01/02,361
2022/01/03,322
2022/01/04,1540
2022/01/05,1385
2022/01/06,1366
2022/01/07,493
2022/01/08,1398
2022/01/09,1007
2022/01/10,440
2022/01/11,1287
2022/01/12,1081
2022/01/13,1034
2022/01/14,963
2022/01/15,909
2022/01/16,843
2022/01/17,418
2022/01/18,1224
2022/01/19,1030
2022/01/20,1080
2022/01/21,1092
2022/01/22,1067
2022/01/23,919
2022/01/24,456
2022/01/25,1233
2022/01/26,878
2022/01/27,935
2022/01/28,920
2022/01/29,753
2022/01/30,705
2022/01/31,317
2022/02/01,789
2022/02/02,564
2022/02/03,590
2022/02/04,541
2022/02/05,474
2022/02/06,464
2022/02/07,221
2022/02/08,536
2022/02/09,370
2022/02/10,402
2022/02/11,398
2022/02/12,274
2022/02/13,291
2022/02/14,118
2022/02/15,289
2022/02/16,204
2022/02/17,229
2022/02/18,224
2022/02/19,170
2022/02/20,218
2022/02/21,103
2022/02/22,233
2022/02/23,212
2022/02/24,198
2022/02/25,183
2022/02/26,150
2022/02/27,169
2022/02/28,74
2022/03/01,203
2022/03/02,131
2022/03/03,171
2022/03/04,161
2022/03/05,143
2022/03/06,150
2022/03/07,56
2022/03/08,255
2022/03/09,150
2022/03/10,203
2022/03/11,234
2022/03/12,206
2022/03/13,212
2022/03/14,105
2022/03/15,323
2022/03/16,282
2022/03/17,317
2022/03/18,387
2022/03/19,320
2022/03/20,348
2022/03/21,114
2022/03/22,403
2022/03/23,294
2022/03/24,335
2022/03/25,339
2022/03/26,298
2022/03/27,267
2022/03/28,138
2022/03/29,469
2022/03/30,306
2022/03/31,353
2022/04/01,336
2022/04/02,299
2022/04/03,297
2022/04/04,139
2022/04/05,432
2022/04/06,331
2022/04/07,394
2022/04/08,361
2022/04/09,315
2022/04/10,300
2022/04/11,142
2022/04/12,437
2022/04/13,276
2022/04/14,282
2022/04/15,322
2022/04/16,261
2022/04/17,287
2022/04/18,48
2022/04/19,122
2022/04/20,532
2022/04/21,322
2022/04/22,392
2022/04/23,322
2022/04/24,289
2022/04/25,112
2022/04/26,76
2022/04/27,483
2022/04/28,281
2022/04/29,267
2022/04/30,220
2022/05/01,189
2022/05/02,59
2022/05/03,272
2022/05/04,177
2022/05/05,184
2022/05/06,161
2022/05/07,169
2022/05/08,169
2022/05/09,65
2022/05/10,264
2022/05/11,125
2022/05/12,184
2022/05/13,154
2022/05/14,134
2022/05/15,163
2022/05/16,49
2022/05/17,199
2022/05/18,104
2022/05/19,123
2022/05/20,95
2022/05/21,116
2022/05/22,85
2022/05/23,31
2022/05/24,138
2022/05/25,77
2022/05/26,97
2022/05/27,81
2022/05/28,48
2022/05/29,66
2022/05/30,14
2022/05/31,81
2022/06/01,65
2022/06/02,58
2022/06/03,20
2022/06/04,106
2022/06/05,52
2022/06/06,27
2022/06/07,111
2022/06/08,93
2022/06/09,90
2022/06/10,87
2022/06/11,98
2022/06/12,82
2022/06/13,45
2022/06/14,172
2022/06/15,111
2022/06/16,139
2022/06/17,159
2022/06/18,135
2022/06/19,131
2022/06/20,51
2022/06/21,273
2022/06/22,220
2022/06/23,233
2022/06/24,225
2022/06/25,225
2022/06/26,196
2022/06/27,57
2022/06/28,453
2022/06/29,276
2022/06/30,332
2022/07/01,309
2022/07/02,306
2022/07/03,281
2022/07/04,104
2022/07/05,581
2022/07/06,382
2022/07/07,376
2022/07/08,357
2022/07/09,325
2022/07/10,303
2022/07/11,76
2022/07/12,548
2022/07/13,387
2022/07/14,413
2022/07/15,357
2022/07/16,342
2022/07/17,289
2022/07/18,124
2022/07/19,482
2022/07/20,291
2022/07/21,304
2022/07/22,260
2022/07/23,309
2022/07/24,225
2022/07/25,75
2022/07/26,350
2022/07/27,289
2022/07/28,237
2022/07/29,226
2022/07/30,191
2022/07/31,163
2022/08/01,68
2022/08/02,254
2022/08/03,158
2022/08/04,141
2022/08/05,126
2022/08/06,121
2022/08/07,105
2022/08/08,43
2022/08/09,153
2022/08/10,94
2022/08/11,82
2022/08/12,93
2022/08/13,85
2022/08/14,86
2022/08/15,17
2022/08/16,17
2022/08/17,140
2022/08/18,89
2022/08/19,65
2022/08/20,62
2022/08/21,61
2022/08/22,33
2022/08/23,89
2022/08/24,65
2022/08/25,77
2022/08/26,71
2022/08/27,53
2022/08/28,69
2022/08/29,22
2022/08/30,85
2022/08/31,74
2022/09/01,71
2022/09/02,73
2022/09/03,51
2022/09/04,47
2022/09/05,18
2022/09/06,100
2022/09/07,47
2022/09/08,81
2022/09/09,67
2022/09/10,60
2022/09/11,63
2022/09/12,11
2022/09/13,92
2022/09/14,59
2022/09/15,56
2022/09/16,61
2022/09/17,56
2022/09/18,45
2022/09/19,18
2022/09/20,85
2022/09/21,65
2022/09/22,88
2022/09/23,96
2022/09/24,90
2022/09/25,96
2022/09/26,41
2022/09/27,212
2022/09/28,148
2022/09/29,156
2022/09/30,134
2022/10/01,129
2022/10/02,139
2022/10/03,53
