Datas,Reggio di Calabria
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,0
2020/03/04,0
2020/03/05,0
2020/03/06,1
2020/03/07,0
2020/03/08,0
2020/03/09,1
2020/03/10,1
2020/03/11,3
2020/03/12,5
2020/03/13,2
2020/03/14,5
2020/03/15,4
2020/03/16,0
2020/03/17,24
2020/03/18,1
2020/03/19,10
2020/03/20,16
2020/03/21,11
2020/03/22,4
2020/03/23,6
2020/03/24,3
2020/03/25,8
2020/03/26,18
2020/03/27,17
2020/03/28,15
2020/03/29,34
2020/03/30,1
2020/03/31,5
2020/04/01,6
2020/04/02,6
2020/04/03,11
2020/04/04,4
2020/04/05,15
2020/04/06,6
2020/04/07,0
2020/04/08,5
2020/04/09,2
2020/04/10,6
2020/04/11,4
2020/04/12,3
2020/04/13,0
2020/04/14,5
2020/04/15,8
2020/04/16,-7
2020/04/17,-29
2020/04/18,0
2020/04/19,1
2020/04/20,2
2020/04/21,0
2020/04/22,4
2020/04/23,1
2020/04/24,0
2020/04/25,1
2020/04/26,0
2020/04/27,1
2020/04/28,0
2020/04/29,1
2020/04/30,1
2020/05/01,1
2020/05/02,0
2020/05/03,0
2020/05/04,3
2020/05/05,1
2020/05/06,2
2020/05/07,1
2020/05/08,1
2020/05/09,3
2020/05/10,0
2020/05/11,0
2020/05/12,3
2020/05/13,1
2020/05/14,2
2020/05/15,0
2020/05/16,2
2020/05/17,0
2020/05/18,0
2020/05/19,1
2020/05/20,1
2020/05/21,0
2020/05/22,0
2020/05/23,0
2020/05/24,0
2020/05/25,0
2020/05/26,0
2020/05/27,1
2020/05/28,0
2020/05/29,0
2020/05/30,0
2020/05/31,0
2020/06/01,0
2020/06/02,0
2020/06/03,0
2020/06/04,0
2020/06/05,1
2020/06/06,0
2020/06/07,0
2020/06/08,0
2020/06/09,0
2020/06/10,0
2020/06/11,1
2020/06/12,0
2020/06/13,0
2020/06/14,0
2020/06/15,0
2020/06/16,0
2020/06/17,0
2020/06/18,2
2020/06/19,0
2020/06/20,2
2020/06/21,6
2020/06/22,1
2020/06/23,1
2020/06/24,0
2020/06/25,0
2020/06/26,3
2020/06/27,1
2020/06/28,0
2020/06/29,0
2020/06/30,1
2020/07/01,-1
2020/07/02,0
2020/07/03,0
2020/07/04,0
2020/07/05,0
2020/07/06,0
2020/07/07,1
2020/07/08,1
2020/07/09,0
2020/07/10,0
2020/07/11,2
2020/07/12,0
2020/07/13,0
2020/07/14,0
2020/07/15,0
2020/07/16,0
2020/07/17,0
2020/07/18,0
2020/07/19,0
2020/07/20,0
2020/07/21,0
2020/07/22,0
2020/07/23,1
2020/07/24,0
2020/07/25,0
2020/07/26,0
2020/07/27,0
2020/07/28,0
2020/07/29,0
2020/07/30,0
2020/07/31,0
2020/08/01,0
2020/08/02,0
2020/08/03,0
2020/08/04,1
2020/08/05,0
2020/08/06,0
2020/08/07,1
2020/08/08,2
2020/08/09,0
2020/08/10,1
2020/08/11,8
2020/08/12,3
2020/08/13,5
2020/08/14,14
2020/08/15,1
2020/08/16,2
2020/08/17,2
2020/08/18,2
2020/08/19,4
2020/08/20,2
2020/08/21,1
2020/08/22,1
2020/08/23,5
2020/08/24,0
2020/08/25,2
2020/08/26,4
2020/08/27,3
2020/08/28,4
2020/08/29,4
2020/08/30,15
2020/08/31,3
2020/09/01,0
2020/09/02,3
2020/09/03,1
2020/09/04,3
2020/09/05,3
2020/09/06,2
2020/09/07,0
2020/09/08,3
2020/09/09,0
2020/09/10,3
2020/09/11,2
2020/09/12,4
2020/09/13,6
2020/09/14,1
2020/09/15,1
2020/09/16,3
2020/09/17,3
2020/09/18,4
2020/09/19,6
2020/09/20,5
2020/09/21,9
2020/09/22,0
2020/09/23,1
2020/09/24,1
2020/09/25,3
2020/09/26,0
2020/09/27,2
2020/09/28,0
2020/09/29,0
2020/09/30,3
2020/10/01,2
2020/10/02,4
2020/10/03,7
2020/10/04,8
2020/10/05,12
2020/10/06,15
2020/10/07,12
2020/10/08,13
2020/10/09,34
2020/10/10,54
2020/10/11,20
2020/10/12,30
2020/10/13,22
2020/10/14,39
2020/10/15,22
2020/10/16,56
2020/10/17,34
2020/10/18,46
2020/10/19,70
2020/10/20,50
2020/10/21,50
2020/10/22,64
2020/10/23,104
2020/10/24,49
2020/10/25,77
2020/10/26,86
2020/10/27,148
2020/10/28,84
2020/10/29,27
2020/10/30,98
2020/10/31,60
2020/11/01,118
2020/11/02,90
2020/11/03,98
2020/11/04,119
2020/11/05,185
2020/11/06,122
2020/11/07,182
2020/11/08,181
2020/11/09,173
2020/11/10,202
2020/11/11,166
2020/11/12,201
2020/11/13,125
2020/11/14,142
2020/11/15,168
2020/11/16,136
2020/11/17,213
2020/11/18,164
2020/11/19,260
2020/11/20,165
2020/11/21,158
2020/11/22,149
2020/11/23,120
2020/11/24,135
2020/11/25,131
2020/11/26,164
2020/11/27,119
2020/11/28,71
2020/11/29,21
2020/11/30,97
2020/12/01,125
2020/12/02,67
2020/12/03,77
2020/12/04,133
2020/12/05,72
2020/12/06,53
2020/12/07,49
2020/12/08,77
2020/12/09,40
2020/12/10,75
2020/12/11,32
2020/12/12,83
2020/12/13,75
2020/12/14,91
2020/12/15,91
2020/12/16,47
2020/12/17,42
2020/12/18,120
2020/12/19,103
2020/12/20,147
2020/12/21,55
2020/12/22,165
2020/12/23,86
2020/12/24,120
2020/12/25,127
2020/12/26,120
2020/12/27,62
2020/12/28,89
2020/12/29,28
2020/12/30,127
2020/12/31,164
2021/01/01,139
2021/01/02,78
2021/01/03,67
2021/01/04,115
2021/01/05,109
2021/01/06,152
2021/01/07,135
2021/01/08,103
2021/01/09,137
2021/01/10,107
2021/01/11,142
2021/01/12,168
2021/01/13,77
2021/01/14,81
2021/01/15,151
2021/01/16,160
2021/01/17,138
2021/01/18,104
2021/01/19,97
2021/01/20,132
2021/01/21,88
2021/01/22,102
2021/01/23,118
2021/01/24,126
2021/01/25,83
2021/01/26,72
2021/01/27,84
2021/01/28,99
2021/01/29,135
2021/01/30,71
2021/01/31,80
2021/02/01,106
2021/02/02,89
2021/02/03,140
2021/02/04,106
2021/02/05,141
2021/02/06,61
2021/02/07,66
2021/02/08,79
2021/02/09,118
2021/02/10,91
2021/02/11,80
2021/02/12,61
2021/02/13,109
2021/02/14,71
2021/02/15,93
2021/02/16,60
2021/02/17,52
2021/02/18,58
2021/02/19,63
2021/02/20,68
2021/02/21,67
2021/02/22,106
2021/02/23,82
2021/02/24,143
2021/02/25,72
2021/02/26,111
2021/02/27,60
2021/02/28,57
2021/03/01,112
2021/03/02,43
2021/03/03,80
2021/03/04,59
2021/03/05,51
2021/03/06,88
2021/03/07,70
2021/03/08,64
2021/03/09,55
2021/03/10,56
2021/03/11,74
2021/03/12,95
2021/03/13,62
2021/03/14,52
2021/03/15,64
2021/03/16,90
2021/03/17,41
2021/03/18,64
2021/03/19,65
2021/03/20,53
2021/03/21,57
2021/03/22,60
2021/03/23,66
2021/03/24,48
2021/03/25,57
2021/03/26,82
2021/03/27,78
2021/03/28,61
2021/03/29,105
2021/03/30,48
2021/03/31,78
2021/04/01,102
2021/04/02,93
2021/04/03,109
2021/04/04,158
2021/04/05,58
2021/04/06,43
2021/04/07,52
2021/04/08,87
2021/04/09,78
2021/04/10,119
2021/04/11,120
2021/04/12,93
2021/04/13,143
2021/04/14,133
2021/04/15,115
2021/04/16,146
2021/04/17,126
2021/04/18,158
2021/04/19,120
2021/04/20,139
2021/04/21,94
2021/04/22,108
2021/04/23,116
2021/04/24,156
2021/04/25,96
2021/04/26,140
2021/04/27,129
2021/04/28,143
2021/04/29,129
2021/04/30,158
2021/05/01,49
2021/05/02,79
2021/05/03,120
2021/05/04,132
2021/05/05,86
2021/05/06,75
2021/05/07,98
2021/05/08,109
2021/05/09,67
2021/05/10,110
2021/05/11,102
2021/05/12,46
2021/05/13,116
2021/05/14,60
2021/05/15,34
2021/05/16,82
2021/05/17,54
2021/05/18,60
2021/05/19,38
2021/05/20,78
2021/05/21,63
2021/05/22,50
2021/05/23,46
2021/05/24,49
2021/05/25,32
2021/05/26,41
2021/05/27,51
2021/05/28,44
2021/05/29,47
2021/05/30,62
2021/05/31,50
2021/06/01,12
2021/06/02,41
2021/06/03,48
2021/06/04,48
2021/06/05,19
2021/06/06,38
2021/06/07,21
2021/06/08,27
2021/06/09,27
2021/06/10,28
2021/06/11,29
2021/06/12,15
2021/06/13,30
2021/06/14,15
2021/06/15,11
2021/06/16,16
2021/06/17,13
2021/06/18,29
2021/06/19,32
2021/06/20,3
2021/06/21,18
2021/06/22,2
2021/06/23,6
2021/06/24,9
2021/06/25,14
2021/06/26,16
2021/06/27,14
2021/06/28,4
2021/06/29,0
2021/06/30,0
2021/07/01,0
2021/07/02,2
2021/07/03,0
2021/07/04,6
2021/07/05,1
2021/07/06,3
2021/07/07,5
2021/07/08,11
2021/07/09,33
2021/07/10,0
2021/07/11,33
2021/07/12,7
2021/07/13,9
2021/07/14,23
2021/07/15,12
2021/07/16,27
2021/07/17,16
2021/07/18,20
2021/07/19,20
2021/07/20,14
2021/07/21,15
2021/07/22,23
2021/07/23,49
2021/07/24,48
2021/07/25,42
2021/07/26,74
2021/07/27,34
2021/07/28,56
2021/07/29,78
2021/07/30,45
2021/07/31,28
2021/08/01,69
2021/08/02,48
2021/08/03,63
2021/08/04,38
2021/08/05,55
2021/08/06,113
2021/08/07,91
2021/08/08,47
2021/08/09,67
2021/08/10,128
2021/08/11,70
2021/08/12,109
2021/08/13,85
2021/08/14,122
2021/08/15,114
2021/08/16,70
2021/08/17,75
2021/08/18,103
2021/08/19,120
2021/08/20,117
2021/08/21,161
2021/08/22,115
2021/08/23,168
2021/08/24,113
2021/08/25,127
2021/08/26,108
2021/08/27,137
2021/08/28,132
2021/08/29,166
2021/08/30,134
2021/08/31,82
2021/09/01,107
2021/09/02,144
2021/09/03,112
2021/09/04,99
2021/09/05,102
2021/09/06,81
2021/09/07,112
2021/09/08,73
2021/09/09,72
2021/09/10,167
2021/09/11,127
2021/09/12,60
2021/09/13,88
2021/09/14,53
2021/09/15,110
2021/09/16,71
2021/09/17,84
2021/09/18,65
2021/09/19,127
2021/09/20,67
2021/09/21,27
2021/09/22,84
2021/09/23,78
2021/09/24,63
2021/09/25,25
2021/09/26,59
2021/09/27,64
2021/09/28,29
2021/09/29,48
2021/09/30,52
2021/10/01,55
2021/10/02,32
2021/10/03,34
2021/10/04,51
2021/10/05,27
2021/10/06,25
2021/10/07,39
2021/10/08,23
2021/10/09,39
2021/10/10,30
2021/10/11,61
2021/10/12,30
2021/10/13,27
2021/10/14,19
2021/10/15,35
2021/10/16,20
2021/10/17,31
2021/10/18,33
2021/10/19,41
2021/10/20,44
2021/10/21,50
2021/10/22,54
2021/10/23,65
2021/10/24,55
2021/10/25,69
2021/10/26,37
2021/10/27,34
2021/10/28,58
2021/10/29,97
2021/10/30,63
2021/10/31,62
2021/11/01,47
2021/11/02,38
2021/11/03,50
2021/11/04,47
2021/11/05,76
2021/11/06,84
2021/11/07,62
2021/11/08,85
2021/11/09,56
2021/11/10,41
2021/11/11,60
2021/11/12,118
2021/11/13,58
2021/11/14,65
2021/11/15,72
2021/11/16,51
2021/11/17,70
2021/11/18,88
2021/11/19,93
2021/11/20,72
2021/11/21,64
2021/11/22,94
2021/11/23,80
2021/11/24,108
2021/11/25,82
2021/11/26,110
2021/11/27,127
2021/11/28,74
2021/11/29,112
2021/11/30,127
2021/12/01,114
2021/12/02,151
2021/12/03,114
2021/12/04,159
2021/12/05,115
2021/12/06,140
2021/12/07,147
2021/12/08,122
2021/12/09,159
2021/12/10,137
2021/12/11,176
2021/12/12,172
2021/12/13,104
2021/12/14,259
2021/12/15,162
2021/12/16,265
2021/12/17,281
2021/12/18,214
2021/12/19,221
2021/12/20,322
2021/12/21,302
2021/12/22,239
2021/12/23,222
2021/12/24,216
2021/12/25,325
2021/12/26,249
2021/12/27,356
2021/12/28,476
2021/12/29,598
2021/12/30,369
2021/12/31,563
2022/01/01,359
2022/01/02,457
2022/01/03,379
2022/01/04,836
2022/01/05,800
2022/01/06,1322
2022/01/07,662
2022/01/08,979
2022/01/09,618
2022/01/10,720
2022/01/11,995
2022/01/12,979
2022/01/13,975
2022/01/14,1436
2022/01/15,1506
2022/01/16,1029
2022/01/17,1034
2022/01/18,1081
2022/01/19,985
2022/01/20,1667
2022/01/21,1354
2022/01/22,735
2022/01/23,527
2022/01/24,448
2022/01/25,315
2022/01/26,647
2022/01/27,583
2022/01/28,666
2022/01/29,617
2022/01/30,545
2022/01/31,481
2022/02/01,749
2022/02/02,855
2022/02/03,851
2022/02/04,630
2022/02/05,618
2022/02/06,1434
2022/02/07,609
2022/02/08,1321
2022/02/09,584
2022/02/10,624
2022/02/11,1226
2022/02/12,1099
2022/02/13,892
2022/02/14,537
2022/02/15,1281
2022/02/16,873
2022/02/17,1021
2022/02/18,923
2022/02/19,1022
2022/02/20,921
2022/02/21,519
2022/02/22,1180
2022/02/23,914
2022/02/24,939
2022/02/25,831
2022/02/26,608
2022/02/27,612
2022/02/28,545
2022/03/01,1046
2022/03/02,772
2022/03/03,692
2022/03/04,614
2022/03/05,758
2022/03/06,627
2022/03/07,386
2022/03/08,1038
2022/03/09,759
2022/03/10,803
2022/03/11,806
2022/03/12,891
2022/03/13,768
2022/03/14,555
2022/03/15,1628
2022/03/16,1341
2022/03/17,1722
2022/03/18,771
2022/03/19,1003
2022/03/20,884
2022/03/21,619
2022/03/22,997
2022/03/23,1218
2022/03/24,1071
2022/03/25,1034
2022/03/26,1118
2022/03/27,693
2022/03/28,564
2022/03/29,1491
2022/03/30,981
2022/03/31,464
2022/04/01,1241
2022/04/02,935
2022/04/03,605
2022/04/04,384
2022/04/05,1253
2022/04/06,767
2022/04/07,593
2022/04/08,693
2022/04/09,612
2022/04/10,531
2022/04/11,364
2022/04/12,894
2022/04/13,563
2022/04/14,344
2022/04/15,500
2022/04/16,548
2022/04/17,448
2022/04/18,163
2022/04/19,202
2022/04/20,892
2022/04/21,624
2022/04/22,649
2022/04/23,660
2022/04/24,525
2022/04/25,188
2022/04/26,353
2022/04/27,602
2022/04/28,626
2022/04/29,512
2022/04/30,300
2022/05/01,232
2022/05/02,340
2022/05/03,433
2022/05/04,422
2022/05/05,363
2022/05/06,331
2022/05/07,263
2022/05/08,249
2022/05/09,123
2022/05/10,401
2022/05/11,340
2022/05/12,296
2022/05/13,234
2022/05/14,250
2022/05/15,152
2022/05/16,119
2022/05/17,369
2022/05/18,221
2022/05/19,181
2022/05/20,275
2022/05/21,241
2022/05/22,152
2022/05/23,46
2022/05/24,247
2022/05/25,196
2022/05/26,138
2022/05/27,200
2022/05/28,170
2022/05/29,170
2022/05/30,81
2022/05/31,235
2022/06/01,175
2022/06/02,159
2022/06/03,246
2022/06/04,213
2022/06/05,100
2022/06/06,80
2022/06/07,268
2022/06/08,66
2022/06/09,53
2022/06/10,85
2022/06/11,54
2022/06/12,103
2022/06/13,106
2022/06/14,324
2022/06/15,247
2022/06/16,238
2022/06/17,213
2022/06/18,306
2022/06/19,227
2022/06/20,93
2022/06/21,509
2022/06/22,406
2022/06/23,323
2022/06/24,351
2022/06/25,413
2022/06/26,358
2022/06/27,193
2022/06/28,738
2022/06/29,578
2022/06/30,610
2022/07/01,613
2022/07/02,642
2022/07/03,470
2022/07/04,408
2022/07/05,1166
2022/07/06,553
2022/07/07,1721
2022/07/08,851
2022/07/09,862
2022/07/10,495
2022/07/11,687
2022/07/12,1307
2022/07/13,1043
2022/07/14,868
2022/07/15,896
2022/07/16,900
2022/07/17,676
2022/07/18,515
2022/07/19,1173
2022/07/20,1032
2022/07/21,1032
2022/07/22,850
2022/07/23,767
2022/07/24,513
2022/07/25,294
2022/07/26,1058
2022/07/27,744
2022/07/28,679
2022/07/29,555
2022/07/30,698
2022/07/31,404
2022/08/01,257
2022/08/02,809
2022/08/03,571
2022/08/04,454
2022/08/05,521
2022/08/06,477
2022/08/07,293
2022/08/08,140
2022/08/09,487
2022/08/10,328
2022/08/11,334
2022/08/12,295
2022/08/13,178
2022/08/14,296
2022/08/15,193
2022/08/16,84
2022/08/17,426
2022/08/18,330
2022/08/19,388
2022/08/20,321
2022/08/21,308
2022/08/22,139
2022/08/23,706
2022/08/24,330
2022/08/25,387
2022/08/26,306
2022/08/27,284
2022/08/28,216
2022/08/29,106
2022/08/30,459
2022/08/31,252
2022/09/01,356
2022/09/02,206
2022/09/03,222
2022/09/04,149
2022/09/05,81
2022/09/06,237
2022/09/07,189
2022/09/08,153
2022/09/09,149
2022/09/10,169
2022/09/11,115
2022/09/12,71
2022/09/13,211
2022/09/14,165
2022/09/15,135
2022/09/16,137
2022/09/17,124
2022/09/18,126
2022/09/19,60
2022/09/20,210
2022/09/21,141
2022/09/22,147
2022/09/23,134
2022/09/24,133
2022/09/25,103
2022/09/26,59
2022/09/27,272
2022/09/28,188
2022/09/29,157
2022/09/30,209
2022/10/01,137
2022/10/02,119
2022/10/03,79
