Datas,Venezia
2020/02/25,7
2020/02/26,1
2020/02/27,6
2020/02/28,1
2020/02/29,4
2020/03/01,5
2020/03/02,24
2020/03/03,0
2020/03/04,11
2020/03/05,14
2020/03/06,12
2020/03/07,15
2020/03/08,26
2020/03/09,4
2020/03/10,22
2020/03/11,27
2020/03/12,26
2020/03/13,43
2020/03/14,34
2020/03/15,46
2020/03/16,28
2020/03/17,22
2020/03/18,48
2020/03/19,49
2020/03/20,99
2020/03/21,92
2020/03/22,66
2020/03/23,67
2020/03/24,38
2020/03/25,37
2020/03/26,46
2020/03/27,35
2020/03/28,64
2020/03/29,48
2020/03/30,40
2020/03/31,63
2020/04/01,61
2020/04/02,62
2020/04/03,28
2020/04/04,41
2020/04/05,63
2020/04/06,62
2020/04/07,56
2020/04/08,87
2020/04/09,121
2020/04/10,29
2020/04/11,103
2020/04/12,74
2020/04/13,26
2020/04/14,25
2020/04/15,5
2020/04/16,23
2020/04/17,60
2020/04/18,20
2020/04/19,27
2020/04/20,34
2020/04/21,14
2020/04/22,88
2020/04/23,29
2020/04/24,32
2020/04/25,2
2020/04/26,5
2020/04/27,19
2020/04/28,52
2020/04/29,7
2020/04/30,13
2020/05/01,33
2020/05/02,16
2020/05/03,15
2020/05/04,11
2020/05/05,6
2020/05/06,31
2020/05/07,18
2020/05/08,7
2020/05/09,5
2020/05/10,16
2020/05/11,3
2020/05/12,12
2020/05/13,6
2020/05/14,5
2020/05/15,4
2020/05/16,4
2020/05/17,2
2020/05/18,1
2020/05/19,3
2020/05/20,4
2020/05/21,4
2020/05/22,4
2020/05/23,1
2020/05/24,0
2020/05/25,3
2020/05/26,5
2020/05/27,3
2020/05/28,-3
2020/05/29,-1
2020/05/30,5
2020/05/31,0
2020/06/01,0
2020/06/02,4
2020/06/03,0
2020/06/04,2
2020/06/05,-1
2020/06/06,1
2020/06/07,1
2020/06/08,0
2020/06/09,0
2020/06/10,3
2020/06/11,2
2020/06/12,2
2020/06/13,-1
2020/06/14,4
2020/06/15,0
2020/06/16,0
2020/06/17,1
2020/06/18,0
2020/06/19,1
2020/06/20,0
2020/06/21,0
2020/06/22,0
2020/06/23,1
2020/06/24,0
2020/06/25,0
2020/06/26,0
2020/06/27,1
2020/06/28,0
2020/06/29,0
2020/06/30,0
2020/07/01,0
2020/07/02,0
2020/07/03,1
2020/07/04,0
2020/07/05,1
2020/07/06,0
2020/07/07,6
2020/07/08,-1
2020/07/09,3
2020/07/10,4
2020/07/11,2
2020/07/12,1
2020/07/13,1
2020/07/14,1
2020/07/15,1
2020/07/16,0
2020/07/17,32
2020/07/18,2
2020/07/19,5
2020/07/20,4
2020/07/21,1
2020/07/22,13
2020/07/23,7
2020/07/24,8
2020/07/25,4
2020/07/26,3
2020/07/27,3
2020/07/28,4
2020/07/29,13
2020/07/30,15
2020/07/31,23
2020/08/01,9
2020/08/02,10
2020/08/03,5
2020/08/04,8
2020/08/05,13
2020/08/06,18
2020/08/07,14
2020/08/08,18
2020/08/09,9
2020/08/10,11
2020/08/11,6
2020/08/12,9
2020/08/13,11
2020/08/14,27
2020/08/15,11
2020/08/16,10
2020/08/17,5
2020/08/18,5
2020/08/19,9
2020/08/20,6
2020/08/21,13
2020/08/22,12
2020/08/23,15
2020/08/24,9
2020/08/25,19
2020/08/26,14
2020/08/27,26
2020/08/28,25
2020/08/29,37
2020/08/30,15
2020/08/31,15
2020/09/01,13
2020/09/02,40
2020/09/03,20
2020/09/04,30
2020/09/05,19
2020/09/06,12
2020/09/07,16
2020/09/08,25
2020/09/09,23
2020/09/10,10
2020/09/11,38
2020/09/12,18
2020/09/13,26
2020/09/14,9
2020/09/15,16
2020/09/16,22
2020/09/17,16
2020/09/18,25
2020/09/19,35
2020/09/20,32
2020/09/21,13
2020/09/22,15
2020/09/23,29
2020/09/24,43
2020/09/25,34
2020/09/26,40
2020/09/27,33
2020/09/28,39
2020/09/29,34
2020/09/30,22
2020/10/01,120
2020/10/02,39
2020/10/03,70
2020/10/04,49
2020/10/05,79
2020/10/06,38
2020/10/07,83
2020/10/08,88
2020/10/09,131
2020/10/10,123
2020/10/11,50
2020/10/12,90
2020/10/13,82
2020/10/14,134
2020/10/15,56
2020/10/16,107
2020/10/17,46
2020/10/18,35
2020/10/19,3
2020/10/20,38
2020/10/21,495
2020/10/22,169
2020/10/23,172
2020/10/24,203
2020/10/25,176
2020/10/26,166
2020/10/27,238
2020/10/28,329
2020/10/29,279
2020/10/30,321
2020/10/31,332
2020/11/01,269
2020/11/02,247
2020/11/03,425
2020/11/04,365
2020/11/05,251
2020/11/06,344
2020/11/07,512
2020/11/08,546
2020/11/09,415
2020/11/10,522
2020/11/11,439
2020/11/12,467
2020/11/13,308
2020/11/14,660
2020/11/15,426
2020/11/16,406
2020/11/17,578
2020/11/18,381
2020/11/19,410
2020/11/20,387
2020/11/21,562
2020/11/22,543
2020/11/23,373
2020/11/24,273
2020/11/25,442
2020/11/26,591
2020/11/27,326
2020/11/28,589
2020/11/29,422
2020/11/30,433
2020/12/01,429
2020/12/02,408
2020/12/03,343
2020/12/04,563
2020/12/05,584
2020/12/06,562
2020/12/07,490
2020/12/08,503
2020/12/09,396
2020/12/10,605
2020/12/11,545
2020/12/12,708
2020/12/13,583
2020/12/14,306
2020/12/15,781
2020/12/16,574
2020/12/17,658
2020/12/18,660
2020/12/19,559
2020/12/20,695
2020/12/21,433
2020/12/22,569
2020/12/23,521
2020/12/24,662
2020/12/25,1007
2020/12/26,546
2020/12/27,490
2020/12/28,653
2020/12/29,499
2020/12/30,588
2020/12/31,692
2021/01/01,959
2021/01/02,591
2021/01/03,480
2021/01/04,527
2021/01/05,652
2021/01/06,504
2021/01/07,711
2021/01/08,611
2021/01/09,505
2021/01/10,455
2021/01/11,322
2021/01/12,556
2021/01/13,319
2021/01/14,408
2021/01/15,118
2021/01/16,456
2021/01/17,194
2021/01/18,220
2021/01/19,281
2021/01/20,220
2021/01/21,213
2021/01/22,179
2021/01/23,217
2021/01/24,128
2021/01/25,137
2021/01/26,203
2021/01/27,403
2021/01/28,122
2021/01/29,209
2021/01/30,208
2021/01/31,139
2021/02/01,58
2021/02/02,107
2021/02/03,95
2021/02/04,121
2021/02/05,87
2021/02/06,140
2021/02/07,59
2021/02/08,132
2021/02/09,121
2021/02/10,129
2021/02/11,136
2021/02/12,124
2021/02/13,128
2021/02/14,106
2021/02/15,38
2021/02/16,118
2021/02/17,93
2021/02/18,169
2021/02/19,124
2021/02/20,186
2021/02/21,160
2021/02/22,96
2021/02/23,169
2021/02/24,95
2021/02/25,228
2021/02/26,187
2021/02/27,243
2021/02/28,182
2021/03/01,139
2021/03/02,142
2021/03/03,116
2021/03/04,238
2021/03/05,343
2021/03/06,219
2021/03/07,210
2021/03/08,299
2021/03/09,269
2021/03/10,127
2021/03/11,207
2021/03/12,404
2021/03/13,643
2021/03/14,279
2021/03/15,205
2021/03/16,294
2021/03/17,373
2021/03/18,290
2021/03/19,405
2021/03/20,319
2021/03/21,266
2021/03/22,312
2021/03/23,289
2021/03/24,289
2021/03/25,339
2021/03/26,505
2021/03/27,267
2021/03/28,333
2021/03/29,176
2021/03/30,250
2021/03/31,357
2021/04/01,265
2021/04/02,278
2021/04/03,218
2021/04/04,167
2021/04/05,129
2021/04/06,113
2021/04/07,188
2021/04/08,173
2021/04/09,157
2021/04/10,104
2021/04/11,115
2021/04/12,117
2021/04/13,152
2021/04/14,171
2021/04/15,146
2021/04/16,128
2021/04/17,159
2021/04/18,134
2021/04/19,149
2021/04/20,122
2021/04/21,166
2021/04/22,133
2021/04/23,139
2021/04/24,163
2021/04/25,113
2021/04/26,104
2021/04/27,149
2021/04/28,155
2021/04/29,124
2021/04/30,144
2021/05/01,152
2021/05/02,49
2021/05/03,94
2021/05/04,136
2021/05/05,135
2021/05/06,201
2021/05/07,149
2021/05/08,93
2021/05/09,77
2021/05/10,71
2021/05/11,84
2021/05/12,81
2021/05/13,83
2021/05/14,72
2021/05/15,74
2021/05/16,45
2021/05/17,39
2021/05/18,42
2021/05/19,68
2021/05/20,54
2021/05/21,49
2021/05/22,44
2021/05/23,8
2021/05/24,39
2021/05/25,20
2021/05/26,34
2021/05/27,30
2021/05/28,60
2021/05/29,30
2021/05/30,23
2021/05/31,14
2021/06/01,13
2021/06/02,24
2021/06/03,14
2021/06/04,24
2021/06/05,23
2021/06/06,9
2021/06/07,6
2021/06/08,17
2021/06/09,43
2021/06/10,16
2021/06/11,9
2021/06/12,8
2021/06/13,16
2021/06/14,3
2021/06/15,9
2021/06/16,34
2021/06/17,9
2021/06/18,4
2021/06/19,19
2021/06/20,4
2021/06/21,-2
2021/06/22,10
2021/06/23,17
2021/06/24,8
2021/06/25,4
2021/06/26,1
2021/06/27,9
2021/06/28,3
2021/06/29,4
2021/06/30,0
2021/07/01,6
2021/07/02,4
2021/07/03,9
2021/07/04,2
2021/07/05,4
2021/07/06,9
2021/07/07,6
2021/07/08,11
2021/07/09,8
2021/07/10,21
2021/07/11,15
2021/07/12,19
2021/07/13,28
2021/07/14,31
2021/07/15,30
2021/07/16,49
2021/07/17,44
2021/07/18,61
2021/07/19,33
2021/07/20,79
2021/07/21,86
2021/07/22,128
2021/07/23,130
2021/07/24,93
2021/07/25,70
2021/07/26,62
2021/07/27,25
2021/07/28,142
2021/07/29,69
2021/07/30,153
2021/07/31,88
2021/08/01,59
2021/08/02,67
2021/08/03,118
2021/08/04,116
2021/08/05,163
2021/08/06,119
2021/08/07,95
2021/08/08,77
2021/08/09,100
2021/08/10,102
2021/08/11,103
2021/08/12,84
2021/08/13,127
2021/08/14,145
2021/08/15,75
2021/08/16,97
2021/08/17,70
2021/08/18,113
2021/08/19,116
2021/08/20,100
2021/08/21,158
2021/08/22,47
2021/08/23,66
2021/08/24,91
2021/08/25,152
2021/08/26,140
2021/08/27,128
2021/08/28,143
2021/08/29,84
2021/08/30,68
2021/08/31,112
2021/09/01,109
2021/09/02,118
2021/09/03,115
2021/09/04,104
2021/09/05,92
2021/09/06,37
2021/09/07,116
2021/09/08,98
2021/09/09,123
2021/09/10,80
2021/09/11,109
2021/09/12,59
2021/09/13,79
2021/09/14,70
2021/09/15,64
2021/09/16,49
2021/09/17,174
2021/09/18,130
2021/09/19,53
2021/09/20,52
2021/09/21,80
2021/09/22,83
2021/09/23,78
2021/09/24,83
2021/09/25,61
2021/09/26,65
2021/09/27,62
2021/09/28,62
2021/09/29,50
2021/09/30,86
2021/10/01,63
2021/10/02,69
2021/10/03,49
2021/10/04,37
2021/10/05,46
2021/10/06,51
2021/10/07,55
2021/10/08,44
2021/10/09,41
2021/10/10,20
2021/10/11,44
2021/10/12,54
2021/10/13,55
2021/10/14,67
2021/10/15,44
2021/10/16,74
2021/10/17,42
2021/10/18,27
2021/10/19,37
2021/10/20,71
2021/10/21,68
2021/10/22,49
2021/10/23,87
2021/10/24,59
2021/10/25,40
2021/10/26,85
2021/10/27,86
2021/10/28,85
2021/10/29,69
2021/10/30,95
2021/10/31,43
2021/11/01,79
2021/11/02,69
2021/11/03,115
2021/11/04,99
2021/11/05,151
2021/11/06,141
2021/11/07,98
2021/11/08,113
2021/11/09,138
2021/11/10,164
2021/11/11,198
2021/11/12,156
2021/11/13,182
2021/11/14,163
2021/11/15,119
2021/11/16,251
2021/11/17,286
2021/11/18,251
2021/11/19,234
2021/11/20,321
2021/11/21,239
2021/11/22,200
2021/11/23,278
2021/11/24,387
2021/11/25,408
2021/11/26,390
2021/11/27,412
2021/11/28,358
2021/11/29,270
2021/11/30,322
2021/12/01,467
2021/12/02,526
2021/12/03,578
2021/12/04,476
2021/12/05,433
2021/12/06,377
2021/12/07,452
2021/12/08,468
2021/12/09,395
2021/12/10,633
2021/12/11,566
2021/12/12,525
2021/12/13,452
2021/12/14,648
2021/12/15,623
2021/12/16,605
2021/12/17,938
2021/12/18,746
2021/12/19,632
2021/12/20,387
2021/12/21,792
2021/12/22,693
2021/12/23,835
2021/12/24,923
2021/12/25,932
2021/12/26,560
2021/12/27,394
2021/12/28,1252
2021/12/29,1606
2021/12/30,1910
2021/12/31,1747
2022/01/01,1908
2022/01/02,972
2022/01/03,872
2022/01/04,2397
2022/01/05,2633
2022/01/06,2681
2022/01/07,1125
2022/01/08,3203
2022/01/09,1876
2022/01/10,1249
2022/01/11,3164
2022/01/12,3008
2022/01/13,2668
2022/01/14,2551
2022/01/15,2778
2022/01/16,1615
2022/01/17,1063
2022/01/18,3471
2022/01/19,2687
2022/01/20,3097
2022/01/21,2807
2022/01/22,2787
2022/01/23,2051
2022/01/24,958
2022/01/25,7488
2022/01/26,2718
2022/01/27,2883
2022/01/28,2608
2022/01/29,2304
2022/01/30,1897
2022/01/31,705
2022/02/01,2282
2022/02/02,2247
2022/02/03,2361
2022/02/04,2013
2022/02/05,1606
2022/02/06,1093
2022/02/07,488
2022/02/08,1852
2022/02/09,1383
2022/02/10,1222
2022/02/11,1101
2022/02/12,1055
2022/02/13,705
2022/02/14,379
2022/02/15,1397
2022/02/16,1000
2022/02/17,1059
2022/02/18,942
2022/02/19,966
2022/02/20,710
2022/02/21,375
2022/02/22,1059
2022/02/23,975
2022/02/24,803
2022/02/25,788
2022/02/26,772
2022/02/27,485
2022/02/28,267
2022/03/01,878
2022/03/02,785
2022/03/03,837
2022/03/04,798
2022/03/05,823
2022/03/06,624
2022/03/07,381
2022/03/08,1114
2022/03/09,841
2022/03/10,987
2022/03/11,986
2022/03/12,990
2022/03/13,836
2022/03/14,400
2022/03/15,1501
2022/03/16,1309
2022/03/17,1471
2022/03/18,1143
2022/03/19,1395
2022/03/20,838
2022/03/21,423
2022/03/22,1676
2022/03/23,1390
2022/03/24,1430
2022/03/25,1378
2022/03/26,1345
2022/03/27,819
2022/03/28,365
2022/03/29,1739
2022/03/30,1502
2022/03/31,1420
2022/04/01,1321
2022/04/02,1272
2022/04/03,804
2022/04/04,351
2022/04/05,1517
2022/04/06,1304
2022/04/07,1294
2022/04/08,1300
2022/04/09,1228
2022/04/10,891
2022/04/11,315
2022/04/12,1582
2022/04/13,1283
2022/04/14,1184
2022/04/15,1116
2022/04/16,1127
2022/04/17,739
2022/04/18,361
2022/04/19,339
2022/04/20,1692
2022/04/21,1315
2022/04/22,1196
2022/04/23,1228
2022/04/24,811
2022/04/25,411
2022/04/26,409
2022/04/27,1533
2022/04/28,1250
2022/04/29,1025
2022/04/30,938
2022/05/01,651
2022/05/02,120
2022/05/03,1159
2022/05/04,860
2022/05/05,776
2022/05/06,711
2022/05/07,686
2022/05/08,445
2022/05/09,284
2022/05/10,863
2022/05/11,652
2022/05/12,673
2022/05/13,605
2022/05/14,574
2022/05/15,361
2022/05/16,139
2022/05/17,626
2022/05/18,397
2022/05/19,399
2022/05/20,357
2022/05/21,355
2022/05/22,192
2022/05/23,121
2022/05/24,366
2022/05/25,304
2022/05/26,258
2022/05/27,236
2022/05/28,196
2022/05/29,154
2022/05/30,91
2022/05/31,273
2022/06/01,249
2022/06/02,323
2022/06/03,94
2022/06/04,353
2022/06/05,190
2022/06/06,113
2022/06/07,399
2022/06/08,354
2022/06/09,342
2022/06/10,381
2022/06/11,359
2022/06/12,300
2022/06/13,102
2022/06/14,750
2022/06/15,640
2022/06/16,714
2022/06/17,731
2022/06/18,810
2022/06/19,606
2022/06/20,318
2022/06/21,1175
2022/06/22,1138
2022/06/23,1172
2022/06/24,1077
2022/06/25,1184
2022/06/26,755
2022/06/27,409
2022/06/28,1614
2022/06/29,1555
2022/06/30,1535
2022/07/01,1366
2022/07/02,1584
2022/07/03,973
2022/07/04,392
2022/07/05,2051
2022/07/06,1962
2022/07/07,1734
2022/07/08,1652
2022/07/09,1606
2022/07/10,1188
2022/07/11,401
2022/07/12,2417
2022/07/13,1972
2022/07/14,1784
2022/07/15,1630
2022/07/16,1628
2022/07/17,1090
2022/07/18,320
2022/07/19,2186
2022/07/20,1615
2022/07/21,1660
2022/07/22,1369
2022/07/23,1365
2022/07/24,958
2022/07/25,328
2022/07/26,1504
2022/07/27,1540
2022/07/28,1406
2022/07/29,1136
2022/07/30,1069
2022/07/31,732
2022/08/01,276
2022/08/02,1369
2022/08/03,993
2022/08/04,822
2022/08/05,783
2022/08/06,675
2022/08/07,499
2022/08/08,202
2022/08/09,857
2022/08/10,720
2022/08/11,621
2022/08/12,502
2022/08/13,487
2022/08/14,393
2022/08/15,168
2022/08/16,153
2022/08/17,653
2022/08/18,594
2022/08/19,571
2022/08/20,496
2022/08/21,356
2022/08/22,152
2022/08/23,740
2022/08/24,531
2022/08/25,505
2022/08/26,461
2022/08/27,450
2022/08/28,310
2022/08/29,103
2022/08/30,585
2022/08/31,485
2022/09/01,381
2022/09/02,375
2022/09/03,275
2022/09/04,210
2022/09/05,114
2022/09/06,412
2022/09/07,386
2022/09/08,328
2022/09/09,326
2022/09/10,281
2022/09/11,185
2022/09/12,129
2022/09/13,420
2022/09/14,384
2022/09/15,377
2022/09/16,354
2022/09/17,369
2022/09/18,268
2022/09/19,112
2022/09/20,542
2022/09/21,499
2022/09/22,469
2022/09/23,425
2022/09/24,495
2022/09/25,377
2022/09/26,186
2022/09/27,926
2022/09/28,889
2022/09/29,854
2022/09/30,725
2022/10/01,757
2022/10/02,581
2022/10/03,210
