Datas,gwangju
01/20/2020,0
01/21/2020,0
01/22/2020,0
01/23/2020,0
01/24/2020,0
01/25/2020,0
01/26/2020,0
01/27/2020,0
01/28/2020,0
01/29/2020,0
01/30/2020,0
01/31/2020,0
02/01/2020,0
02/02/2020,0
02/03/2020,0
02/04/2020,1
02/05/2020,1
02/06/2020,0
02/07/2020,0
02/08/2020,0
02/09/2020,0
02/10/2020,0
02/11/2020,0
02/12/2020,0
02/13/2020,0
02/14/2020,0
02/15/2020,0
02/16/2020,0
02/17/2020,0
02/18/2020,0
02/19/2020,0
02/20/2020,0
02/21/2020,1
02/22/2020,3
02/23/2020,1
02/24/2020,2
02/25/2020,0
02/26/2020,0
02/27/2020,0
02/28/2020,0
02/29/2020,0
03/01/2020,0
03/02/2020,0
03/03/2020,2
03/04/2020,2
03/05/2020,0
03/06/2020,0
03/07/2020,0
03/08/2020,0
03/09/2020,2
03/10/2020,0
03/11/2020,0
03/12/2020,0
03/13/2020,0
03/14/2020,0
03/15/2020,1
03/16/2020,0
03/17/2020,0
03/18/2020,1
03/19/2020,0
03/20/2020,1
03/21/2020,0
03/22/2020,1
03/23/2020,0
03/24/2020,0
03/25/2020,0
03/26/2020,0
03/27/2020,1
03/28/2020,0
03/29/2020,0
03/30/2020,0
03/31/2020,0
04/01/2020,4
04/02/2020,1
04/03/2020,1
04/04/2020,0
04/05/2020,1
04/06/2020,0
04/07/2020,0
04/08/2020,0
04/09/2020,0
04/10/2020,0
04/11/2020,0
04/12/2020,0
04/13/2020,0
04/14/2020,0
04/15/2020,1
04/16/2020,0
04/17/2020,2
04/18/2020,0
04/19/2020,0
04/20/2020,0
04/21/2020,0
04/22/2020,0
04/23/2020,0
04/24/2020,0
04/25/2020,0
04/26/2020,0
04/27/2020,0
04/28/2020,0
04/29/2020,0
04/30/2020,0
05/01/2020,0
05/02/2020,0
05/03/2020,0
05/04/2020,0
05/05/2020,0
05/06/2020,0
05/07/2020,0
05/08/2020,0
05/09/2020,0
05/10/2020,0
05/11/2020,0
05/12/2020,0
05/13/2020,0
05/14/2020,0
05/15/2020,0
05/16/2020,0
05/17/2020,0
05/18/2020,0
05/19/2020,0
05/20/2020,0
05/21/2020,0
05/22/2020,0
05/23/2020,0
05/24/2020,0
05/25/2020,0
05/26/2020,0
05/27/2020,0
05/28/2020,0
05/29/2020,0
05/30/2020,2
05/31/2020,0
06/01/2020,0
06/02/2020,0
06/03/2020,0
06/04/2020,0
06/05/2020,0
06/06/2020,0
06/07/2020,0
06/08/2020,0
06/09/2020,0
06/10/2020,0
06/11/2020,0
06/12/2020,0
06/13/2020,0
06/14/2020,0
06/15/2020,0
06/16/2020,0
06/17/2020,0
06/18/2020,0
06/19/2020,0
06/20/2020,0
06/21/2020,1
06/22/2020,0
06/23/2020,0
06/24/2020,0
06/25/2020,0
06/26/2020,0
06/27/2020,0
06/28/2020,4
06/29/2020,4
06/30/2020,3
07/01/2020,12
07/02/2020,22
07/03/2020,6
07/04/2020,8
07/05/2020,16
07/06/2020,7
07/07/2020,6
07/08/2020,8
07/09/2020,15
07/10/2020,3
07/11/2020,9
07/12/2020,5
07/13/2020,7
07/14/2020,1
07/15/2020,1
07/16/2020,1
07/17/2020,5
07/18/2020,0
07/19/2020,10
07/20/2020,1
07/21/2020,0
07/22/2020,4
07/23/2020,9
07/24/2020,2
07/25/2020,0
07/26/2020,1
07/27/2020,0
07/28/2020,0
07/29/2020,1
07/30/2020,0
07/31/2020,0
08/01/2020,0
08/02/2020,1
08/03/2020,0
08/04/2020,2
08/05/2020,1
08/06/2020,0
08/07/2020,0
08/08/2020,0
08/09/2020,2
08/10/2020,0
08/11/2020,0
08/12/2020,6
08/13/2020,2
08/14/2020,2
08/15/2020,1
08/16/2020,7
08/17/2020,7
08/18/2020,4
08/19/2020,6
08/20/2020,1
08/21/2020,5
08/22/2020,11
08/23/2020,17
08/24/2020,1
08/25/2020,4
08/26/2020,7
08/27/2020,39
08/28/2020,17
08/29/2020,16
08/30/2020,2
08/31/2020,9
09/01/2020,4
09/02/2020,10
09/03/2020,6
09/04/2020,11
09/05/2020,8
09/06/2020,7
09/07/2020,9
09/08/2020,13
09/09/2020,17
09/10/2020,5
09/11/2020,8
09/12/2020,3
09/13/2020,3
09/14/2020,3
09/15/2020,1
09/16/2020,2
09/17/2020,1
09/18/2020,0
09/19/2020,0
09/20/2020,0
09/21/2020,1
09/22/2020,0
09/23/2020,2
09/24/2020,0
09/25/2020,2
09/26/2020,0
09/27/2020,2
09/28/2020,0
09/29/2020,0
09/30/2020,3
10/01/2020,0
10/02/2020,0
10/03/2020,0
10/04/2020,1
10/05/2020,0
10/06/2020,0
10/07/2020,0
10/08/2020,0
10/09/2020,0
10/10/2020,0
10/11/2020,0
10/12/2020,1
10/13/2020,2
10/14/2020,0
10/15/2020,0
10/16/2020,0
10/17/2020,1
10/18/2020,0
10/19/2020,2
10/20/2020,0
10/21/2020,1
10/22/2020,0
10/23/2020,6
10/24/2020,0
10/25/2020,0
10/26/2020,0
10/27/2020,0
10/28/2020,0
10/29/2020,2
10/30/2020,0
10/31/2020,0
11/01/2020,3
11/02/2020,0
11/03/2020,2
11/04/2020,0
11/05/2020,0
11/06/2020,0
11/07/2020,0
11/08/2020,2
11/09/2020,1
11/10/2020,5
11/11/2020,4
11/12/2020,6
11/13/2020,5
11/14/2020,8
11/15/2020,9
11/16/2020,4
11/17/2020,18
11/18/2020,9
11/19/2020,8
11/20/2020,4
11/21/2020,7
11/22/2020,8
11/23/2020,1
11/24/2020,3
11/25/2020,14
11/26/2020,14
11/27/2020,13
11/28/2020,16
11/29/2020,8
11/30/2020,13
12/01/2020,22
12/02/2020,10
12/03/2020,3
12/04/2020,1
12/05/2020,6
12/06/2020,5
12/07/2020,5
12/08/2020,11
12/09/2020,9
12/10/2020,5
12/11/2020,3
12/12/2020,9
12/13/2020,15
12/14/2020,22
12/15/2020,5
12/16/2020,2
12/17/2020,10
12/18/2020,4
12/19/2020,9
12/20/2020,14
12/21/2020,13
12/22/2020,26
12/23/2020,36
12/24/2020,15
12/25/2020,36
12/26/2020,28
12/27/2020,17
12/28/2020,12
12/29/2020,15
12/30/2020,9
12/31/2020,8
01/01/2021,17
01/02/2021,13
01/03/2021,26
01/04/2021,74
01/05/2021,23
01/06/2021,30
01/07/2021,28
01/08/2021,21
01/09/2021,6
01/10/2021,21
01/11/2021,24
01/12/2021,7
01/13/2021,4
01/14/2021,31
01/15/2021,6
01/16/2021,6
01/17/2021,15
01/18/2021,11
01/19/2021,8
01/20/2021,11
01/21/2021,6
01/22/2021,2
01/23/2021,7
01/24/2021,17
01/25/2021,16
01/26/2021,12
01/27/2021,112
01/28/2021,44
01/29/2021,54
01/30/2021,33
01/31/2021,17
02/01/2021,32
02/02/2021,24
02/03/2021,6
02/04/2021,12
02/05/2021,14
02/06/2021,12
02/07/2021,10
02/08/2021,7
02/09/2021,8
02/10/2021,14
02/11/2021,13
02/12/2021,6
02/13/2021,3
02/14/2021,2
02/15/2021,3
02/16/2021,2
02/17/2021,3
02/18/2021,16
02/19/2021,4
02/20/2021,5
02/21/2021,6
02/22/2021,5
02/23/2021,7
02/24/2021,35
02/25/2021,15
02/26/2021,11
02/27/2021,12
02/28/2021,14
03/01/2021,8
03/02/2021,4
03/03/2021,3
03/04/2021,6
03/05/2021,6
03/06/2021,3
03/07/2021,4
03/08/2021,15
03/09/2021,33
03/10/2021,1
03/11/2021,1
03/12/2021,2
03/13/2021,3
03/14/2021,1
03/15/2021,1
03/16/2021,2
03/17/2021,1
03/18/2021,1
03/19/2021,2
03/20/2021,1
03/21/2021,2
03/22/2021,2
03/23/2021,1
03/24/2021,2
03/25/2021,5
03/26/2021,3
03/27/2021,5
03/28/2021,2
03/29/2021,2
03/30/2021,1
03/31/2021,2
04/01/2021,3
04/02/2021,1
04/03/2021,3
04/04/2021,4
04/05/2021,0
04/06/2021,6
04/07/2021,2
04/08/2021,0
04/09/2021,5
04/10/2021,1
04/11/2021,0
04/12/2021,4
04/13/2021,9
04/14/2021,5
04/15/2021,4
04/16/2021,11
04/17/2021,4
04/18/2021,13
04/19/2021,11
04/20/2021,4
04/21/2021,17
04/22/2021,9
04/23/2021,16
04/24/2021,15
04/25/2021,8
04/26/2021,15
04/27/2021,6
04/28/2021,12
04/29/2021,8
04/30/2021,4
05/01/2021,4
05/02/2021,15
05/03/2021,5
05/04/2021,4
05/05/2021,8
05/06/2021,8
05/07/2021,21
05/08/2021,5
05/09/2021,6
05/10/2021,9
05/11/2021,24
05/12/2021,22
05/13/2021,23
05/14/2021,11
05/15/2021,11
05/16/2021,14
05/17/2021,27
05/18/2021,11
05/19/2021,4
05/20/2021,15
05/21/2021,13
05/22/2021,15
05/23/2021,9
05/24/2021,16
05/25/2021,21
05/26/2021,21
05/27/2021,15
05/28/2021,8
05/29/2021,9
05/30/2021,9
05/31/2021,13
06/01/2021,5
06/02/2021,5
06/03/2021,4
06/04/2021,7
06/05/2021,9
06/06/2021,2
06/07/2021,4
06/08/2021,1
06/09/2021,7
06/10/2021,4
06/11/2021,1
06/12/2021,7
06/13/2021,3
06/14/2021,4
06/15/2021,4
06/16/2021,1
06/17/2021,6
06/18/2021,2
06/19/2021,4
06/20/2021,3
06/21/2021,2
06/22/2021,2
06/23/2021,4
06/24/2021,1
06/25/2021,5
06/26/2021,8
06/27/2021,12
06/28/2021,7
06/29/2021,2
06/30/2021,6
07/01/2021,7
07/02/2021,2
07/03/2021,3
07/04/2021,3
07/05/2021,7
07/06/2021,4
07/07/2021,11
07/08/2021,2
07/09/2021,4
07/10/2021,21
07/11/2021,23
07/12/2021,14
07/13/2021,9
07/14/2021,15
07/15/2021,21
07/16/2021,23
07/17/2021,12
07/18/2021,23
07/19/2021,14
07/20/2021,25
07/21/2021,23
07/22/2021,11
07/23/2021,9
07/24/2021,9
07/25/2021,13
07/26/2021,18
07/27/2021,23
07/28/2021,27
07/29/2021,39
07/30/2021,25
07/31/2021,22
08/01/2021,14
08/02/2021,17
08/03/2021,18
08/04/2021,16
08/05/2021,17
08/06/2021,14
08/07/2021,18
08/08/2021,32
08/09/2021,19
08/10/2021,15
08/11/2021,20
08/12/2021,20
08/13/2021,15
08/14/2021,17
08/15/2021,29
08/16/2021,29
08/17/2021,18
08/18/2021,31
08/19/2021,22
08/20/2021,22
08/21/2021,27
08/22/2021,22
08/23/2021,33
08/24/2021,12
08/25/2021,23
08/26/2021,29
08/27/2021,14
08/28/2021,20
08/29/2021,22
08/30/2021,30
08/31/2021,19
09/01/2021,37
09/02/2021,42
09/03/2021,43
09/04/2021,26
09/05/2021,39
09/06/2021,28
09/07/2021,34
09/08/2021,43
09/09/2021,22
09/10/2021,25
09/11/2021,21
09/12/2021,27
09/13/2021,14
09/14/2021,35
09/15/2021,38
09/16/2021,13
09/17/2021,21
09/18/2021,27
09/19/2021,22
09/20/2021,35
09/21/2021,40
09/22/2021,40
09/23/2021,36
09/24/2021,42
09/25/2021,30
09/26/2021,40
09/27/2021,28
09/28/2021,28
09/29/2021,28
09/30/2021,32
10/01/2021,28
10/02/2021,25
10/03/2021,22
10/04/2021,13
10/05/2021,15
10/06/2021,16
10/07/2021,13
10/08/2021,25
10/09/2021,18
10/10/2021,23
10/11/2021,14
10/12/2021,7
10/13/2021,14
10/14/2021,10
10/15/2021,6
10/16/2021,6
10/17/2021,9
10/18/2021,4
10/19/2021,3
10/20/2021,12
10/21/2021,15
10/22/2021,3
10/23/2021,9
10/24/2021,4
10/25/2021,3
10/26/2021,5
10/27/2021,9
10/28/2021,7
10/29/2021,5
10/30/2021,16
10/31/2021,23
11/01/2021,5
11/02/2021,17
11/03/2021,12
11/04/2021,14
11/05/2021,12
11/06/2021,18
11/07/2021,20
11/08/2021,28
11/09/2021,11
11/10/2021,22
11/11/2021,32
11/12/2021,11
11/13/2021,31
11/14/2021,19
11/15/2021,26
11/16/2021,11
11/17/2021,34
11/18/2021,34
11/19/2021,24
11/20/2021,39
11/21/2021,70
11/22/2021,57
11/23/2021,55
11/24/2021,46
11/25/2021,35
11/26/2021,31
11/27/2021,35
11/28/2021,52
11/29/2021,61
11/30/2021,52
12/01/2021,29
12/02/2021,39
12/03/2021,45
12/04/2021,39
12/05/2021,40
12/06/2021,43
12/07/2021,47
12/08/2021,57
12/09/2021,36
12/10/2021,35
12/11/2021,25
12/12/2021,71
12/13/2021,37
12/14/2021,71
12/15/2021,59
12/16/2021,44
12/17/2021,42
12/18/2021,57
12/19/2021,29
12/20/2021,52
12/21/2021,76
12/22/2021,106
12/23/2021,66
12/24/2021,54
12/25/2021,78
12/26/2021,67
12/27/2021,60
12/28/2021,70
12/29/2021,80
12/30/2021,102
12/31/2021,85
01/01/2022,92
01/02/2022,93
01/03/2022,75
01/04/2022,61
01/05/2022,75
01/06/2022,91
01/07/2022,87
01/08/2022,89
01/09/2022,92
01/10/2022,133
01/11/2022,176
01/12/2022,158
01/13/2022,188
01/14/2022,223
01/15/2022,207
01/16/2022,183
01/17/2022,242
01/18/2022,184
01/19/2022,226
01/20/2022,354
01/21/2022,242
01/22/2022,252
01/23/2022,316
01/24/2022,286
01/25/2022,315
01/26/2022,396
01/27/2022,343
01/28/2022,422
01/29/2022,422
01/30/2022,477
01/31/2022,482
02/01/2022,500
02/02/2022,618
02/03/2022,694
02/04/2022,829
02/05/2022,1244
02/06/2022,1186
02/07/2022,1209
02/08/2022,1241
02/09/2022,1503
02/10/2022,1427
02/11/2022,1408
02/12/2022,1576
02/13/2022,1540
02/14/2022,1539
02/15/2022,1608
02/16/2022,2298
02/17/2022,2610
02/18/2022,2669
02/19/2022,2741
02/20/2022,2661
02/21/2022,2589
02/22/2022,3247
02/23/2022,4225
02/24/2022,4136
02/25/2022,4604
02/26/2022,4883
02/27/2022,4273
02/28/2022,4167
03/01/2022,4806
03/02/2022,5259
03/03/2022,6998
03/04/2022,6773
03/05/2022,7407
03/06/2022,6657
03/07/2022,6472
03/08/2022,6473
03/09/2022,7418
03/10/2022,6300
03/11/2022,8848
03/12/2022,8953
03/13/2022,7193
03/14/2022,8339
03/15/2022,11172
03/16/2022,10425
03/17/2022,16946
03/18/2022,15446
03/19/2022,11566
03/20/2022,10030
03/21/2022,8460
03/22/2022,6985
03/23/2022,12185
03/24/2022,12465
03/25/2022,10262
03/26/2022,9908
03/27/2022,8932
03/28/2022,7480
03/29/2022,7917
03/30/2022,12300
03/31/2022,11361
04/01/2022,9286
04/02/2022,8033
04/03/2022,7001
04/04/2022,5800
04/05/2022,7471
04/06/2022,9152
04/07/2022,8134
04/08/2022,7318
04/09/2022,6486
04/10/2022,5335
04/11/2022,3979
04/12/2022,6658
04/13/2022,7407
04/14/2022,5661
04/15/2022,4725
04/16/2022,4094
04/17/2022,3561
04/18/2022,1950
04/19/2022,3019
04/20/2022,4071
04/21/2022,3176
04/22/2022,2806
04/23/2022,2826
04/24/2022,2371
04/25/2022,1677
04/26/2022,2196
04/27/2022,3053
04/28/2022,2071
04/29/2022,1900
04/30/2022,1655
05/01/2022,1300
05/02/2022,886
05/03/2022,1437
05/04/2022,1843
05/05/2022,1450
05/06/2022,1221
05/07/2022,988
05/08/2022,1597
05/09/2022,912
05/10/2022,1522
05/11/2022,1678
05/12/2022,1291
05/13/2022,1099
05/14/2022,986
05/15/2022,696
05/16/2022,642
05/17/2022,881
05/18/2022,901
05/19/2022,817
05/20/2022,821
05/21/2022,751
05/22/2022,618
05/23/2022,342
05/24/2022,594
05/25/2022,814
05/26/2022,594
05/27/2022,465
05/28/2022,496
05/29/2022,420
05/30/2022,202
05/31/2022,430
06/01/2022,462
06/02/2022,264
06/03/2022,330
06/04/2022,321
06/05/2022,262
06/06/2022,155
06/07/2022,142
06/08/2022,353
06/09/2022,352
06/10/2022,278
06/11/2022,226
06/12/2022,192
06/13/2022,108
06/14/2022,198
06/15/2022,214
06/16/2022,187
06/17/2022,162
06/18/2022,135
06/19/2022,134
06/20/2022,115
06/21/2022,180
06/22/2022,183
06/23/2022,145
06/24/2022,143
06/25/2022,125
06/26/2022,123
06/27/2022,83
06/28/2022,129
06/29/2022,210
06/30/2022,194
07/01/2022,171
07/02/2022,164
07/03/2022,188
07/04/2022,144
07/05/2022,280
07/06/2022,337
07/07/2022,313
07/08/2022,362
07/09/2022,350
07/10/2022,370
07/11/2022,267
07/12/2022,662
07/13/2022,814
07/14/2022,800
07/15/2022,815
07/16/2022,812
07/17/2022,937
07/18/2022,580
07/19/2022,1368
07/20/2022,1723
07/21/2022,1650
07/22/2022,1596
07/23/2022,1632
07/24/2022,1670
07/25/2022,1106
07/26/2022,2315
07/27/2022,2889
07/28/2022,2469
07/29/2022,2381
07/30/2022,2172
07/31/2022,2284
08/01/2022,1494
08/02/2022,2648
08/03/2022,3551
08/04/2022,3416
08/05/2022,3392
08/06/2022,2845
08/07/2022,3415
08/08/2022,1996
08/09/2022,3461
08/10/2022,5159
08/11/2022,4802
08/12/2022,4040
08/13/2022,4396
08/14/2022,4485
08/15/2022,2714
08/16/2022,2660
08/17/2022,5521
08/18/2022,6737
08/19/2022,5411
08/20/2022,4710
08/21/2022,4031
08/22/2022,2659
08/23/2022,4171
08/24/2022,5746
08/25/2022,4140
08/26/2022,3690
08/27/2022,3357
08/28/2022,3233
08/29/2022,1494
08/30/2022,2953
08/31/2022,3647
09/01/2022,2818
09/02/2022,2507
09/03/2022,2235
09/04/2022,2365
09/05/2022,1226
09/06/2022,2429
09/07/2022,2913
09/08/2022,2229
09/09/2022,1949
09/10/2022,1562
09/11/2022,869
09/12/2022,883
09/13/2022,1336
09/14/2022,2532
09/15/2022,2174
09/16/2022,1472
09/17/2022,1232
09/18/2022,1108
09/19/2022,550
09/20/2022,1061
09/21/2022,1299
09/22/2022,897
09/23/2022,776
09/24/2022,746
09/25/2022,640
09/26/2022,466
09/27/2022,830
09/28/2022,1020
09/29/2022,747
09/30/2022,650
10/01/2022,618
10/02/2022,585
10/03/2022,250
10/04/2022,322
10/05/2022,735
10/06/2022,681
10/07/2022,521
10/08/2022,474
10/09/2022,422
10/10/2022,233
10/11/2022,337
10/12/2022,547
10/13/2022,691
10/14/2022,515
10/15/2022,546
10/16/2022,566
10/17/2022,258
10/18/2022,674
10/19/2022,678
10/20/2022,670
10/21/2022,568
10/22/2022,635
10/23/2022,611
10/24/2022,344
10/25/2022,843
10/26/2022,972
10/27/2022,895
10/28/2022,805
10/29/2022,874
10/30/2022,886
10/31/2022,455
11/01/2022,1095
11/02/2022,1326
11/03/2022,1202
11/04/2022,1046
11/05/2022,975
11/06/2022,945
11/07/2022,519
11/08/2022,1213
11/09/2022,1577
11/10/2022,1458
11/11/2022,1286
11/12/2022,1332
11/13/2022,1520
11/14/2022,692
11/15/2022,1575
11/16/2022,1937
11/17/2022,1537
11/18/2022,1387
11/19/2022,1360
11/20/2022,1475
11/21/2022,549
11/22/2022,1516
11/23/2022,2177
11/24/2022,1684
11/25/2022,1662
11/26/2022,1604
11/27/2022,1454
11/28/2022,758
11/29/2022,1766
11/30/2022,2219
12/01/2022,1842
12/02/2022,1617
